"Country Abbreviation","Country","Year","Births per 1000 People","Deaths per 1000 People","population"
"JPN","Japan","1975","6.20000000000000E+00","1.70000000000000E+01","1.11940000000000E+08"
"JPN","Japan","1976","6.20000000000000E+00","1.62000000000000E+01","1.12771000000000E+08"
"JPN","Japan","1977","6.00000000000000E+00","1.54000000000000E+01","1.13863000000000E+08"
"JPN","Japan","1978","6.00000000000000E+00","1.48000000000000E+01","1.14898000000000E+08"
"JPN","Japan","1979","5.90000000000000E+00","1.41000000000000E+01","1.15870000000000E+08"
"JPN","Japan","1980","6.10000000000000E+00","1.35000000000000E+01","1.16782000000000E+08"
"JPN","Japan","1981","6.10000000000000E+00","1.30000000000000E+01","1.17648000000000E+08"
"JPN","Japan","1982","6.00000000000000E+00","1.28000000000000E+01","1.18449000000000E+08"
"JPN","Japan","1983","6.20000000000000E+00","1.27000000000000E+01","1.19259000000000E+08"
"JPN","Japan","1984","6.20000000000000E+00","1.25000000000000E+01","1.20018000000000E+08"
"JPN","Japan","1985","6.20000000000000E+00","1.19000000000000E+01","1.20754000000000E+08"
"JPN","Japan","1986","6.20000000000000E+00","1.14000000000000E+01","1.21492000000000E+08"
"JPN","Japan","1987","6.70000000000000E+00","1.11000000000000E+01","1.22091000000000E+08"
"JPN","Japan","1988","6.50000000000000E+00","1.08000000000000E+01","1.22613000000000E+08"
"JPN","Japan","1989","6.40000000000000E+00","1.02000000000000E+01","1.23116000000000E+08"
"JPN","Japan","1990","6.70000000000000E+00","1.00000000000000E+01","1.23537000000000E+08"
"JPN","Japan","1991","6.70000000000000E+00","9.90000000000000E+00","1.23921000000000E+08"
"JPN","Japan","1992","6.90000000000000E+00","9.80000000000000E+00","1.24229000000000E+08"
"JPN","Japan","1993","7.10000000000000E+00","9.60000000000000E+00","1.24536000000000E+08"
"JPN","Japan","1994","7.10000000000000E+00","1.00000000000000E+01","1.24961000000000E+08"
"JPN","Japan","1995","7.41000000000000E+00","9.54000000000000E+00","1.25439000000000E+08"
"JPN","Japan","1996","7.10000000000000E+00","9.60000000000000E+00","1.25761000000000E+08"
"JPN","Japan","1997","7.30000000000000E+00","9.50000000000000E+00","1.26091000000000E+08"
"JPN","Japan","1998","7.50000000000000E+00","9.60000000000000E+00","1.26410000000000E+08"
"JPN","Japan","1999","7.80000000000000E+00","9.30000000000000E+00","1.26650000000000E+08"
"JPN","Japan","2000","7.70000000000000E+00","9.40000000000000E+00","1.26870000000000E+08"
"JPN","Japan","2001","7.70000000000000E+00","9.30000000000000E+00","1.27149000000000E+08"
"JPN","Japan","2002","8.10000000000000E+00","9.30000000000000E+00","1.27445000000000E+08"
"JPN","Japan","2003","8.40000000000000E+00","9.20000000000000E+00","1.27718000000000E+08"
"JPN","Japan","2004","8.05085979508934E+00","8.69360456470183E+00","1.27761000000000E+08"
"JPN","Japan","2005","8.53075375861880E+00","8.41329221907430E+00","1.27773000000000E+08"
"JPN","Japan","2006","8.53000000000000E+00","8.65000000000000E+00","1.27756000000000E+08"
"JPN","Japan","2007","8.71000000000000E+00","8.63000000000000E+00","1.27770750000000E+08"
"JPN","Japan","2008","9.10000000000000E+00","8.70000000000000E+00","1.27704040000000E+08"
"DEU","Germany","1978","1.22000000000000E+01","1.04000000000000E+01","7.80918200000000E+07"
"DEU","Germany","1979","1.21000000000000E+01","1.05000000000000E+01","7.81263500000000E+07"
"DEU","Germany","1980","1.22000000000000E+01","1.11000000000000E+01","7.82885760000000E+07"
"DEU","Germany","1981","1.22000000000000E+01","1.10000000000000E+01","7.84079070000000E+07"
"DEU","Germany","1982","1.20000000000000E+01","1.10000000000000E+01","7.83333660000000E+07"
"DEU","Germany","1983","1.20000000000000E+01","1.06000000000000E+01","7.81282820000000E+07"
"DEU","Germany","1984","1.18000000000000E+01","1.04000000000000E+01","7.78586850000000E+07"
"DEU","Germany","1985","1.20000000000000E+01","1.05000000000000E+01","7.76848730000000E+07"
"DEU","Germany","1986","1.19000000000000E+01","1.09000000000000E+01","7.77204360000000E+07"
"DEU","Germany","1987","1.16000000000000E+01","1.12000000000000E+01","7.78399200000000E+07"
"DEU","Germany","1988","1.15000000000000E+01","1.14000000000000E+01","7.81446190000000E+07"
"DEU","Germany","1989","1.15000000000000E+01","1.12000000000000E+01","7.87512830000000E+07"
"DEU","Germany","1990","1.16000000000000E+01","1.14000000000000E+01","7.94330290000000E+07"
"DEU","Germany","1991","1.14000000000000E+01","1.04000000000000E+01","8.00138960000000E+07"
"DEU","Germany","1992","1.10000000000000E+01","1.00000000000000E+01","8.06245980000000E+07"
"DEU","Germany","1993","1.11000000000000E+01","9.80000000000000E+00","8.11563630000000E+07"
"DEU","Germany","1994","1.09000000000000E+01","9.50000000000000E+00","8.14383480000000E+07"
"DEU","Germany","1995","1.08000000000000E+01","9.40000000000000E+00","8.16780510000000E+07"
"DEU","Germany","1996","1.08000000000000E+01","9.70000000000000E+00","8.19148310000000E+07"
"DEU","Germany","1997","1.05000000000000E+01","9.90000000000000E+00","8.20347710000000E+07"
"DEU","Germany","1998","1.04000000000000E+01","9.60000000000000E+00","8.20471950000000E+07"
"DEU","Germany","1999","1.03000000000000E+01","9.40000000000000E+00","8.21002430000000E+07"
"DEU","Germany","2000","1.02000000000000E+01","9.30000000000000E+00","8.22115080000000E+07"
"DEU","Germany","2001","1.01000000000000E+01","8.90000000000000E+00","8.23499250000000E+07"
"DEU","Germany","2002","1.02000000000000E+01","8.70000000000000E+00","8.24884950000000E+07"
"DEU","Germany","2003","1.03000000000000E+01","8.60000000000000E+00","8.25341760000000E+07"
"DEU","Germany","2004","9.90000000000000E+00","8.60000000000000E+00","8.25162600000000E+07"
"DEU","Germany","2005","1.01000000000000E+01","8.30000000000000E+00","8.24694220000000E+07"
"DEU","Germany","2006","1.00000000000000E+01","8.20000000000000E+00","8.23764510000000E+07"
