State,Type of Crime,Crime,Year,Count
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1960,406
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1961,427
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1962,316
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1963,340
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1964,316
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1965,395
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1966,384
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1967,415
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1968,421
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1969,485
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1970,404
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1971,524
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1972,496
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1973,468
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1974,536
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1975,577
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1976,553
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1977,524
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1978,499
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1979,496
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1980,509
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1981,465
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1982,417
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1983,364
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1984,374
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1985,396
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1986,409
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1987,380
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1988,408
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1989,421
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1990,467
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1991,469
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1992,455
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1993,484
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1994,501
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1995,475
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1996,444
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1997,426
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1998,354
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,1999,345
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,2000,329
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,2001,379
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,2002,303
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,2003,299
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,2004,254
Alabama,Violent Crime,Murder and nonnegligent Manslaughter,2005,374
Alabama,Violent Crime,Forcible rape,1960,281
Alabama,Violent Crime,Forcible rape,1961,252
Alabama,Violent Crime,Forcible rape,1962,218
Alabama,Violent Crime,Forcible rape,1963,192
Alabama,Violent Crime,Forcible rape,1964,397
Alabama,Violent Crime,Forcible rape,1965,367
Alabama,Violent Crime,Forcible rape,1966,341
Alabama,Violent Crime,Forcible rape,1967,371
Alabama,Violent Crime,Forcible rape,1968,396
Alabama,Violent Crime,Forcible rape,1969,494
Alabama,Violent Crime,Forcible rape,1970,637
Alabama,Violent Crime,Forcible rape,1971,661
Alabama,Violent Crime,Forcible rape,1972,660
Alabama,Violent Crime,Forcible rape,1973,751
Alabama,Violent Crime,Forcible rape,1974,811
Alabama,Violent Crime,Forcible rape,1975,738
Alabama,Violent Crime,Forcible rape,1976,794
Alabama,Violent Crime,Forcible rape,1977,929
Alabama,Violent Crime,Forcible rape,1978,954
Alabama,Violent Crime,Forcible rape,1979,1037
Alabama,Violent Crime,Forcible rape,1980,1158
Alabama,Violent Crime,Forcible rape,1981,1021
Alabama,Violent Crime,Forcible rape,1982,1026
Alabama,Violent Crime,Forcible rape,1983,931
Alabama,Violent Crime,Forcible rape,1984,1002
Alabama,Violent Crime,Forcible rape,1985,1079
Alabama,Violent Crime,Forcible rape,1986,1150
Alabama,Violent Crime,Forcible rape,1987,1137
Alabama,Violent Crime,Forcible rape,1988,1228
Alabama,Violent Crime,Forcible rape,1989,1276
Alabama,Violent Crime,Forcible rape,1990,1319
Alabama,Violent Crime,Forcible rape,1991,1455
Alabama,Violent Crime,Forcible rape,1992,1704
Alabama,Violent Crime,Forcible rape,1993,1471
Alabama,Violent Crime,Forcible rape,1994,1487
Alabama,Violent Crime,Forcible rape,1995,1350
Alabama,Violent Crime,Forcible rape,1996,1397
Alabama,Violent Crime,Forcible rape,1997,1396
Alabama,Violent Crime,Forcible rape,1998,1443
Alabama,Violent Crime,Forcible rape,1999,1513
Alabama,Violent Crime,Forcible rape,2000,1482
Alabama,Violent Crime,Forcible rape,2001,1369
Alabama,Violent Crime,Forcible rape,2002,1664
Alabama,Violent Crime,Forcible rape,2003,1656
Alabama,Violent Crime,Forcible rape,2004,1742
Alabama,Violent Crime,Forcible rape,2005,1564
Alabama,Violent Crime,Robbery,1960,898
Alabama,Violent Crime,Robbery,1961,630
Alabama,Violent Crime,Robbery,1962,754
Alabama,Violent Crime,Robbery,1963,828
Alabama,Violent Crime,Robbery,1964,992
Alabama,Violent Crime,Robbery,1965,992
Alabama,Violent Crime,Robbery,1966,1124
Alabama,Violent Crime,Robbery,1967,1167
Alabama,Violent Crime,Robbery,1968,1462
Alabama,Violent Crime,Robbery,1969,1448
Alabama,Violent Crime,Robbery,1970,1731
Alabama,Violent Crime,Robbery,1971,2005
Alabama,Violent Crime,Robbery,1972,2407
Alabama,Violent Crime,Robbery,1973,2809
Alabama,Violent Crime,Robbery,1974,3562
Alabama,Violent Crime,Robbery,1975,4446
