county,technology,columns,category,ballots
Alachua,Optical,1,under,217
Alachua,Optical,1,over,105
Alachua,Optical,1,Bush,34124
Alachua,Optical,1,Gore,47365
Alachua,Optical,1,Browne,658
Alachua,Optical,1,Nader,3226
Alachua,Optical,1,Harris,6
Alachua,Optical,1,Hagelin,42
Alachua,Optical,1,Buchanan,263
Alachua,Optical,1,McReynolds,4
Alachua,Optical,1,Phillips,20
Alachua,Optical,1,Moorehead,21
Alachua,Optical,1,Chote,0
Alachua,Optical,1,McCarthy,0
Baker,Optical,1,under,79
Baker,Optical,1,over,46
Baker,Optical,1,Bush,5610
Baker,Optical,1,Gore,2392
Baker,Optical,1,Browne,17
Baker,Optical,1,Nader,53
Baker,Optical,1,Harris,0
Baker,Optical,1,Hagelin,3
Baker,Optical,1,Buchanan,73
Baker,Optical,1,McReynolds,0
Baker,Optical,1,Phillips,3
Baker,Optical,1,Moorehead,3
Baker,Optical,1,Chote,0
Baker,Optical,1,McCarthy,0
Bay,Optical,1,under,541
Bay,Optical,1,over,141
Bay,Optical,1,Bush,38637
Bay,Optical,1,Gore,18850
Bay,Optical,1,Browne,171
Bay,Optical,1,Nader,828
Bay,Optical,1,Harris,5
Bay,Optical,1,Hagelin,18
Bay,Optical,1,Buchanan,248
Bay,Optical,1,McReynolds,3
Bay,Optical,1,Phillips,18
Bay,Optical,1,Moorehead,27
Bay,Optical,1,Chote,0
Bay,Optical,1,McCarthy,0
Bradford,Optical,2,under,41
Bradford,Optical,2,over,695
Bradford,Optical,2,Bush,5414
Bradford,Optical,2,Gore,3075
Bradford,Optical,2,Browne,28
Bradford,Optical,2,Nader,84
Bradford,Optical,2,Harris,0
Bradford,Optical,2,Hagelin,2
Bradford,Optical,2,Buchanan,65
Bradford,Optical,2,McReynolds,0
Bradford,Optical,2,Phillips,2
Bradford,Optical,2,Moorehead,3
Bradford,Optical,2,Chote,0
Bradford,Optical,2,McCarthy,0
Brevard,Optical,1,under,277
Brevard,Optical,1,over,136
Brevard,Optical,1,Bush,115185
Brevard,Optical,1,Gore,97318
Brevard,Optical,1,Browne,643
Brevard,Optical,1,Nader,4470
Brevard,Optical,1,Harris,11
Brevard,Optical,1,Hagelin,39
Brevard,Optical,1,Buchanan,570
Brevard,Optical,1,McReynolds,11
Brevard,Optical,1,Phillips,72
Brevard,Optical,1,Moorehead,76
Brevard,Optical,1,Chote,0
Brevard,Optical,1,McCarthy,0
Broward,Votomatic,1,under,4946
Broward,Votomatic,1,over,7826
Broward,Votomatic,1,Bush,177902
Broward,Votomatic,1,Gore,387703
Broward,Votomatic,1,Browne,1217
Broward,Votomatic,1,Nader,7104
Broward,Votomatic,1,Harris,54
Broward,Votomatic,1,Hagelin,135
Broward,Votomatic,1,Buchanan,795
Broward,Votomatic,1,McReynolds,37
Broward,Votomatic,1,Phillips,74
Broward,Votomatic,1,Moorehead,122
Broward,Votomatic,1,Chote,0
Broward,Votomatic,1,McCarthy,0
Calhoun,Optical,1,under,78
Calhoun,Optical,1,over,0
Calhoun,Optical,1,Bush,2873
Calhoun,Optical,1,Gore,2155
Calhoun,Optical,1,Browne,10
Calhoun,Optical,1,Nader,39
Calhoun,Optical,1,Harris,0
Calhoun,Optical,1,Hagelin,1
Calhoun,Optical,1,Buchanan,90
Calhoun,Optical,1,McReynolds,1
Calhoun,Optical,1,Phillips,2
Calhoun,Optical,1,Moorehead,3
Calhoun,Optical,1,Chote,0
Calhoun,Optical,1,McCarthy,0
Charlotte,Optical,2,under,170
Charlotte,Optical,2,over,2985
Charlotte,Optical,2,Bush,35426
Charlotte,Optical,2,Gore,29645
Charlotte,Optical,2,Browne,127
Charlotte,Optical,2,Nader,1462
Charlotte,Optical,2,Harris,6
Charlotte,Optical,2,Hagelin,15
Charlotte,Optical,2,Buchanan,182
Charlotte,Optical,2,McReynolds,3
Charlotte,Optical,2,Phillips,18
Charlotte,Optical,2,Moorehead,12
Charlotte,Optical,2,Chote,0
Charlotte,Optical,2,McCarthy,0
Citrus,Optical,1,under,154
Citrus,Optical,1,over,54
Citrus,Optical,1,Bush,29767
Citrus,Optical,1,Gore,25525
Citrus,Optical,1,Browne,194
