DATE,EVENT
6/12/1994,Nicole Brown Simpson and Ronald Goldman are stabbed to death.ÿ Their bodies found in the front courtyard of the Nicole's condominium in Brentwood.
6/13/1994,"O.J. Simpson is notified of the murders while on a business trip in Chicago.ÿ He returns to Los Angeles, is temporarily handcuffed, and taken in for questioning.ÿ Robert Shapiro is contacted on Simpson's behalf and asked to becomeÿ defense counsel."
6/16/1994,The funerals of the victims are held.
6/17/1994,"About to be arrested for murder, Simpson slips out of Robert Kardashian's home.ÿ He is chased by police while riding in his white Ford Bronco, driven by friend A.C. Cowlings. When he returns to his home on Rockingham, Simpson is taken into custody."
6/24/1994,Grand jury recused.
7/8/1994,Six-day preliminary hearing ends with Judge Kathleen Kennedy-Powell ruling there is sufficient evidence for O.J. Simpson to stand trial on two counts of first-degree murder.
7/22/1994,O.J. pleads 'absolutely 100 percent not guilty' to the charges.ÿ Judge Lance A. Ito assigned to hear case.
8/18/1994,Defense counsel files motion to obtain personnel records of Detective Mark Fuhrman.
9/2/1994,District attorney files motion to sequester jury.
9/9/1994,District attorney announces that the death penalty will not be sought.
9/19/1994,Judge Ito upholds the legality of the search of Simpson's home.
11/3/1994,"Jury panel selected: eight black, one white, one Hispanic, two mixed race; eight women, four men.ÿ"
12/8/1994,Alternate jury selected.
1/4/1995,Defense waives hearing for challenge of prosecution's DNA evidence.
1/11/1995,The jury is sequestered.ÿ Hearing held on admissibility of domestic-abuse evidence.
1/13/1995,Prosecutor Christopher Darden and defense attorney Johnnie Cochran argue over racist language regarding the upcoming testimony of Mark Fuhrman.
1/24/1995,Trial opens.ÿ Prosecutors Marcia Clark and Christopher Darden deliver opening statements.
1/25/1995,Johnnie Cochran makes opening statement for the defense.
1/27/1995,"O.J. Simpson's book,ÿI Want to Tell You, is published."
2/3/1995,Nicole Brown's sister Denise testifies about O.J. Simpson's abuse of her sister.
2/12/1995,Jurors take field trip to Simpson home and Bundy Drive crime scene.
3/15/1995,"Detective Mark Fuhrman, cross-examined by defense attorney F. Lee Bailey, denies using the word 'nigger' at any time in the previous ten years."
4/11/1995,"L.A.P.D. criminalist Dennis Fung concedes, under cross-examination by defense attorney Barry Scheck, procedural errors."
4/21/1995,"After three sheriff's deputies are reassigned, jurors protest.ÿ They first refuse to come to court, then show up dressed in black."
5/4/1995,Wrongful death suit filed on behalf of the Goldmans.
5/10/1995,DNA testimony begins.
5/15/1995,Simpson tries on the bloody gloves.ÿ They seem not to fit.
7/6/1995,The prosecution rests.
7/10/1995,"The defense calls its first witness, Arnelle Simpson, O.J. Simpson's daughter."
8/15/1995,Controversy over possible conflict of interest concerning Judge Ito.ÿ Marchia Clark asks Ito to recuse himself from Simpson trial.
8/16/1995,Clark changes her mind on Ito recusal.ÿ
8/18/1995,Superior court judge John Reid rules that Captain York's testimony is notÿ relevant to Simpson trial.
8/29/1995,"Fuhrman tapes played in court, with jury absent."
8/31/1995,Judge Ito rules that jury will hear two excerpts of controversial tapes.ÿ
9/5/1995,The jury hears excerpts from Fuhrman tapes.
9/6/1995,"With jury absent, Mark Fuhrman appears on stand.ÿ He refuses to answer questions, citing his Fifth Amendment privilege against self incrimination."
9/7/1995,"The defense announces that Simpson won't testify on his own behalf.ÿ The defense asks Judge Ito to instruct jury as to reason for Fuhrman's further nonappearance.ÿ Judge agrees, but prosecution objects.ÿ The question is appealed."
9/8/1995,Appeals court rejects Ito's jury instruction.
9/11/1995,Defense refuses to rest their case due to the unresolved question of judge's instruction to jury concerning Fuhrman.ÿ Judge Ito orders prosecution to begin its rebuttal.
9/18/1995,Prosecution conditionally rests its case.
9/19/1995,Detective Vannatter is cross-examined by Shapiro on statements he made to mob informants about why police went to O.J. Simpson's residence.
9/21/1995,"Both defense and prosecution rest their cases.ÿ In a statement to judge waiving his right to testify, Simpson says 'I did not, could not, and would not have committed this crime.'ÿ Judge Ito gives jury instructions."
9/26/1995,Clark and Darden deliver prosecution's closing arguments.
9/27/1995,Cochran and Scheck deliver defense's closing arguments.ÿ Cochran makes controversial statements to the jury comparing Fuhrman to Hitler.
9/29/1995,The case goes to the jury.
10/2/1995,"After less than four hours, jury announces that it has reached a verdict."
10/3/1995,Jury finds O.J. Simpson not guilty of two counts of murder.
10/23/1996,"Opening statements in civil trial.ÿ Jury consists of nine whites, one black, one Hispanic, and one person of mixed Asian and African ancestry."
11/22/1996,"Simpson testifies before a jury for the first time.ÿ He denies killing Goldman or his former wife, but cannot explain the physical evidence against him."
12/9/1996,"Fred Goldman, Ron's father, testifies.ÿ Plaintiffs rest."
12/20/1996,Simpson awarded custody of his children by an Orange County judge.
1/10/1997,Simpson on the stand again.
1/16/1997,Both sides rest.ÿ Jury has heard 101 witnesses over 41 days of testimony.
1/21/1997,"Closing argument of Daniel Petrocelli for the plaintiffs.ÿ Petrocelli points at Simpson and says, 'There's a killer in this courtroom.'"
1/22/1997,"Closing argument by Robert Baker, representing Simpson."
2/4/1997,Jury finds Simpson liable and awards plaintiffs $8.5 million in in compensatory damages.
3/26/1997,"Court orders Simpson to turn over his assets, including 1968 Heisman trophy, a Warhol painting, and his golf clubs."
7/14/1997,The Brentwood estate is auctioned off (and the new owner soon demolishes it).
6/30/1998,"Simpson's attorneys appeal wrongful death award against him, calling award 'excessive and the clear result of passion and prejudice on the part of the jury.'"
11/2/1998,Brown and Goldman families split proceeds from an auction of O. J. Simpson's belongings.
5/10/1999,O. J. Simpson and the Browns negotiate a custody arrangement for the two Simpson children.
