Yrs (and part yrs) Served,Prime minister,Party
21,Sir Robert Walpole,Whig
1,"Spencer Compton, Earl of Wilmington",Whig
11,Henry Pelham,Whig
7,"Thomas Pelham-Holles, Duke of Newcastle",Whig
1,"William Cavendish, Duke of Devonshire",Whig
1,"John Stuart, Earl of Bute",Tory
2,George Grenville,Whig
2,"Charles Watson-Wentworth, Marquess of Rockingham",Whig
1,"William Pitt the Elder, Earl of Chatham",Whig
3,"Augustus Fitzroy, Duke of Grafton",Whig
12,"Frederick North, Lord North",Tory
1,"William FitzMaurice, Earl of Shelburne",Whig
20,"William Pitt, the Younger",Tory
3,Henry Addington,Tory
1,"William Grenville, Lord Grenville",Whig
3,"William Bentinck, Duke of Portland",Tory
3,Spencer Perceval,Tory
15,"Robert Jenkinson, Earl of Liverpool",Tory
1,"Frederick Robinson, Viscount Goderich",Tory
3,"Arthur Wellesley, Duke of Wellington",Tory
4,"Charles Grey, Earl Grey",Whig
6,Sir Robert Peel,Tory
6,"William Lamb, Viscount Melbourne",Whig
6,Lord John Russell,Whig
3,"George Hamilton-Gordon, Earl of Aberdeen",Conservative
4,"Edward Stanley, Earl of Derby",Conservative
10,Viscount Palmerston,Liberal
1,"John Russell, Earl Russell",Liberal
14,William Ewart Gladstone,Liberal
7,Benjamin Disraeli,Conservative
14,Marquess of Salisbury,Conservative
1,Earl of Rosebery,Liberal
3,Arthur Balfour,Conservative
3,Henry Campbell-Bannerman,Liberal
8,Herbert H. Asquith,"Liberal (Coalition Government, 1915)"
6,David Lloyd George,Liberal (Coalition Government)
1,Andrew Bonar Law,Conservative
6,Stanley Baldwin,Conservative
3,James Ramsay MacDonald,Labour
4,James Ramsay MacDonald,National Labour (National Government)
2,Stanley Baldwin,Conservative (National Government)
3,Neville Chamberlain,Conservative (National Government)
3,Neville Chamberlain,Conservative (Coalition Government)
4,Winston Churchill,Conservative
6,Clement Attlee,Labour
2,Sir Anthony Eden,Conservative
6,Harold Macmillan,Conservative
1,Sir Alec Douglas-Home,Conservative
8,Harold Wilson,Labour
4,Edward Heath,Conservative
3,James Callaghan,Labour
11,Margaret Thatcher,Conservative
7,John Major,Conservative
10,Tony Blair,Labour
3,Gordon Brown,Labour
3,David Cameron,Conservative/ Liberal coalition
