Indicator,Year,Geography,FIPS,Race,Sex,Age group,Misc,Rate,Cases,Population
AIDS deaths,2000,Alabama,1,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7.2,263,"3,649,040"
AIDS deaths,2000,Alaska,2,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.6,13,"492,320"
AIDS deaths,2000,American Samoa,60,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0,0,"37,866"
AIDS deaths,2000,Arizona,4,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.9,205,"4,157,297"
AIDS deaths,2000,Arkansas,5,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.7,82,"2,193,844"
AIDS deaths,2000,California,6,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7,"1,896","27,183,676"
AIDS deaths,2000,Colorado,8,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.3,116,"3,530,430"
AIDS deaths,2000,Connecticut,9,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,11.2,313,"2,795,939"
AIDS deaths,2000,Delaware,10,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,15.2,98,"645,214"
AIDS deaths,2000,District of Columbia,11,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,75.8,368,"485,304"
AIDS deaths,2000,Florida,12,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,17.4,"2,334","13,420,555"
AIDS deaths,2000,Georgia,13,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,12.1,803,"6,642,424"
AIDS deaths,2000,Guam,66,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0.9,1,"113,718"
AIDS deaths,2000,Hawaii,15,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.9,39,"998,603"
AIDS deaths,2000,Idaho,16,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.3,13,"1,037,896"
AIDS deaths,2000,Illinois,17,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.6,670,"10,080,955"
AIDS deaths,2000,Indiana,18,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.2,159,"4,957,454"
AIDS deaths,2000,Iowa,19,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.2,30,"2,412,252"
AIDS deaths,2000,Kansas,20,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.5,32,"2,186,722"
AIDS deaths,2000,Kentucky,21,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.8,92,"3,335,999"
AIDS deaths,2000,Louisiana,22,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,12.6,454,"3,610,682"
AIDS deaths,2000,Maine,23,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2,21,"1,068,500"
AIDS deaths,2000,Maryland,24,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,16.6,719,"4,325,451"
AIDS deaths,2000,Massachusetts,25,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.1,320,"5,270,519"
AIDS deaths,2000,Michigan,26,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.4,352,"8,085,123"
AIDS deaths,2000,Minnesota,27,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.3,92,"4,022,624"
AIDS deaths,2000,Mississippi,28,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,8,183,"2,296,180"
AIDS deaths,2000,Missouri,29,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.4,202,"4,590,356"
AIDS deaths,2000,Montana,30,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0.9,7,"745,797"
AIDS deaths,2000,Nebraska,31,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.2,31,"1,396,382"
AIDS deaths,2000,Nevada,32,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7.4,121,"1,634,059"
AIDS deaths,2000,New Hampshire,33,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2,20,"1,019,355"
AIDS deaths,2000,New Jersey,34,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,15.3,"1,058","6,898,878"
AIDS deaths,2000,New Mexico,35,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.1,45,"1,461,381"
AIDS deaths,2000,New York,36,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,20,"3,121","15,595,556"
AIDS deaths,2000,North Carolina,37,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.5,364,"6,637,885"
AIDS deaths,2000,North Dakota,38,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.3,7,"531,381"
AIDS deaths,2000,Northern Mariana Islands,69,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0,0,"55,861"
AIDS deaths,2000,Ohio,39,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.7,250,"9,296,192"
AIDS deaths,2000,Oklahoma,40,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.5,126,"2,823,517"
AIDS deaths,2000,Oregon,41,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.9,81,"2,826,917"
AIDS deaths,2000,Pennsylvania,42,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.9,708,"10,212,120"
AIDS deaths,2000,Puerto Rico,72,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,25.3,768,"3,029,858"
AIDS deaths,2000,Rhode Island,44,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.1,53,"870,992"
AIDS deaths,2000,South Carolina,45,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,9,296,"3,296,398"
AIDS deaths,2000,South Dakota,46,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0.5,3,"615,275"
AIDS deaths,2000,Tennessee,47,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.8,317,"4,692,938"
AIDS deaths,2000,Texas,48,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7.6,"1,269","16,668,002"
AIDS deaths,2000,U.S. Virgin Islands,78,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,9.5,8,"84,300"
AIDS deaths,2000,Utah,49,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.4,41,"1,725,119"
AIDS deaths,2000,Vermont,50,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.4,7,"507,693"
AIDS deaths,2000,Virginia,51,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6,351,"5,845,015"
AIDS deaths,2000,Washington,53,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.6,174,"4,827,518"
AIDS deaths,2000,West Virginia,54,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.6,24,"1,526,143"
AIDS deaths,2000,Wisconsin,55,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.3,103,"4,412,228"
AIDS deaths,2000,Wyoming,56,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.2,5,"406,801"
AIDS deaths,2001,Alabama,1,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7.9,288,"3,662,760"
AIDS deaths,2001,Alaska,2,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.2,11,"500,128"
AIDS deaths,2001,American Samoa,60,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0,0,"38,710"
AIDS deaths,2001,Arizona,4,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.8,203,"4,269,156"
AIDS deaths,2001,Arkansas,5,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.8,84,"2,206,650"
AIDS deaths,2001,California,6,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7,"1,937","27,639,962"
AIDS deaths,2001,Colorado,8,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.6,132,"3,618,563"
