Team,G,Punt,Avg
South Dakota,11,68,47.5
Towson,11,42,45.8
Wofford,20,57,45.6
Southern Utah,11,78,45.4
Western Carolina,13,54,44.6
Sam Houston St.,15,62,44.3
SE Missouri St.,11,64,43.8
UC Davis,11,62,43.2
Lehigh,11,42,43.0
Weber St.,14,64,42.9
S. Dakota St.,13,49,42.6
Pennsylvania,14,41,42.5
Youngstown St.,17,65,42.4
Incarnate Word,11,74,42.4
Albany,11,60,42.3
Citadel,12,47,42.3
E. Kentucky,11,59,42.1
Cornell,10,55,41.9
Savannah St.,11,70,41.8
Murray St.,10,65,41.7
Georgetown,11,86,41.6
Houston Baptist,11,80,41.6
Dayton,12,49,41.6
Villanova,13,57,41.5
James Madison,16,47,41.5
Colgate,10,50,41.5
Idaho St.,17,66,41.5
AR Pine Bluff,11,71,41.5
Central Arkansas,15,69,41.4
Lafayette,11,67,41.4
Columbia,21,77,41.4
Samford,17,71,41.3
Delaware,11,55,41.3
Tennessee Tech,12,46,41.2
Northern Arizona,15,58,41.2
Elon,12,72,41.2
North Dakota,14,75,41.1
Gardner-Webb,11,60,41.1
SE Louisiana,14,54,41.0
Northern Iowa,11,57,41.0
Indiana St.,11,60,41.0
Liberty,11,63,41.0
Hampton,11,57,40.9
Kennesaw St.,11,32,40.8
Montana,11,50,40.8
Stony Brook,12,69,40.8
N.C. Central,13,66,40.8
Illinois St.,12,70,40.7
Texas Southern,19,56,40.6
Presbyterian,11,83,40.4
N'western St.,14,55,40.3
Furman,10,47,40.2
Maine,11,69,40.0
Princeton,12,48,40.0
Nicholls,11,68,39.9
Butler,12,50,39.9
Northern Colorado,12,54,39.9
Fordham,11,36,39.9
Delaware St.,12,71,39.9
Holy Cross,13,56,39.7
Missouri St.,12,61,39.7
Stetson,11,71,39.7
Chattanooga,21,61,39.7
Mercer,11,46,39.7
Montana St.,14,61,39.6
Rhode Island,12,82,39.5
Eastern Wash.,17,46,39.5
Abilene Christian,16,69,39.5
Florida A&M,12,67,39.4
Bucknell,12,64,39.3
Tennessee St.,11,36,39.3
N.C. A&T,13,58,39.2
Western Ill.,11,61,39.2
Virginia Military,15,60,39.2
Morehead St.,11,62,39.2
S. Carolina St.,12,73,39.0
Portland St.,11,45,38.9
Richmond,18,57,38.8
Drake,11,53,38.8
Duquesne,13,51,38.7
St. Francis (PA),17,73,38.7
Jacksonville,10,46,38.6
Monmouth,12,46,38.6
Alcorn St.,14,62,38.6
Wagner,11,59,38.5
New Hampshire,16,71,38.4
Southern Ill.,11,76,38.4
Eastern Illinois,11,56,38.3
Central Conn. St.,15,57,38.2
Lamar,11,76,38.1
Bethune-Cookman,12,49,38.0
Sacramento St.,20,86,37.9
McNeese St.,11,59,37.9
Cal Poly,12,39,37.8
Marist,12,57,37.6
Charleston Sou.,12,49,37.6
Valparaiso,14,69,37.6
Prairie View A&M,12,59,37.5
Austin Peay,15,58,37.4
N. Dak. St.,15,61,37.3
Jackson St.,12,66,37.3
Sacred Heart,15,79,37.3
Davidson,15,74,37.2
Alabama St.,12,64,37.2
Robert Morris,11,85,37.1
San Diego,15,45,37.1
S.F. Austin,11,82,37.1
Harvard,10,59,37.0
Jacksonville St.,15,72,37.0
Bryant,13,51,36.9
Brown,10,62,36.9
Tenn-Martin,11,41,36.9
Campbell,10,59,36.2
William & Mary,15,48,36.2
E. Tennessee St.,15,71,36.1
Alabama A&M,11,73,35.8
Grambling St.,15,67,35.5
Dartmouth,10,57,35.3
Yale,14,70,35.1
Miss. Valley St.,12,67,34.8
Southern,12,42,33.7
Howard,12,65,33.7
Norfolk St.,11,71,33.4
Morgan St.,13,66,32.4
