Team,G,Pts/G,Yds/G,PassYds,RushYds,Int,IntTD
Alabama,13,11.8,247.8,2398,824,17,7
Michigan,12,12.5,252.7,1631,1401,13,3
Ohio St.,12,14.2,282.3,1974,1414,21,7
Wisconsin,13,15.5,303.0,2679,1260,22,1
Auburn,12,15.6,348.4,2683,1498,11,0
LSU,11,16.4,323.0,2213,1340,9,1
Appalachian St.,12,17.0,326.0,2402,1510,20,2
Washington,13,17.2,316.2,2504,1606,19,2
Temple,13,17.2,275.9,1887,1700,12,0
Florida,12,17.9,298.6,1876,1707,16,4
Iowa,12,17.9,352.8,2396,1838,9,1
Clemson,13,18.4,313.9,2446,1635,20,2
Army,12,18.9,281.6,1899,1480,17,0
Miami (FL),12,18.9,355.3,2645,1618,8,0
Coastal Car.,12,19.3,332.2,2502,1484,21,4
BYU,12,19.4,364.3,3071,1301,21,3
W. Michigan,13,19.5,353.0,2623,1966,15,4
Stanford,12,20.2,365.6,2627,1760,14,3
Colorado,13,20.5,328.3,2372,1896,15,1
S. Diego St.,13,21.0,320.2,2707,1455,26,5
Wake Forest,12,21.8,370.1,2570,1871,12,2
Kansas St.,12,21.8,382.2,3235,1351,16,3
Troy,12,22.0,364.3,2888,1484,22,0
Northwestern,12,22.1,401.6,3179,1640,16,0
Ohio,13,22.2,363.2,3346,1375,15,0
Arkansas St.,12,22.2,374.5,2642,1852,11,1
USC,12,22.2,359.0,2704,1604,14,1
Vanderbilt,12,22.6,410.8,2945,1985,5,0
Houston,12,22.6,325.0,2725,1175,7,2
Boise St.,12,22.7,378.7,2394,2150,7,1
Virginia Tech,13,22.7,342.8,2525,1931,16,0
Nebraska,12,22.8,350.6,2515,1692,16,2
Minnesota,12,22.9,352.6,2738,1493,9,1
N.C. State,12,23.3,356.0,3016,1256,10,2
Louisville,12,23.3,316.3,2475,1320,15,1
Penn St.,13,23.4,352.0,2580,1996,10,1
West Virginia,12,23.4,431.2,3068,2106,14,1
Texas A&M,12,23.8,444.2,3055,2275,12,0
Utah,12,23.9,386.5,3082,1556,18,2
Georgia,12,24.1,328.0,2243,1693,15,1
UCF,12,24.1,381.7,2405,2175,15,4
W. Kentucky,13,24.1,367.8,3493,1288,14,1
Miami (OH),12,24.3,354.8,2579,1678,14,1
Florida St.,12,24.4,357.2,2711,1575,15,0
Boston Coll.,12,24.6,310.6,2444,1283,12,1
South Carolina,12,24.8,407.2,2452,2434,15,0
N. Carolina,12,24.9,418.5,2196,2826,1,1
Georgia Tech,12,25.0,408.1,2807,2090,11,1
La Lafayette,12,25.1,370.6,2903,1544,10,1
Toledo,12,25.3,394.9,2751,1988,6,0
South Alabama,12,25.5,384.0,2063,2545,10,1
Georgia Southern,12,26.5,396.6,2754,2005,9,0
Georgia St.,12,26.6,380.7,2087,2481,11,2
Air Force,12,26.7,369.2,3014,1416,15,1
Cincinnati,12,26.9,422.8,2799,2275,17,1
Memphis,12,27.0,442.7,2910,2402,16,3
Washington St.,12,27.2,416.5,3403,1595,12,0
Indiana,12,27.3,372.6,2642,1829,13,2
UCLA,12,27.5,382.0,2526,2058,15,1
Tulane,12,27.7,364.5,2463,1911,12,1
Colorado St.,12,27.8,406.2,2297,2577,8,1
Notre Dame,12,27.8,378.8,2357,2189,8,0
Old Dominion,12,27.8,376.8,2648,1873,11,1
TCU,12,27.8,427.9,2942,2193,8,1
Michigan St.,12,27.8,364.8,2474,1904,8,2
Oklahoma St.,12,28.1,457.0,3031,2453,14,0
Connecticut,12,28.1,410.8,3176,1753,7,0
Duke,12,28.2,414.7,2877,2099,10,1
UTSA,12,28.3,400.0,2907,1893,7,0
Cent. Michigan,12,28.3,376.2,2578,1936,13,4
Kent St.,12,28.7,386.5,2361,2277,12,0
Maryland,12,29.0,433.7,2589,2615,5,1
Nevada,12,29.0,456.0,1901,3571,5,0
Utah St.,12,29.3,379.8,2118,2440,7,0
Tennessee,12,29.3,459.7,2736,2780,11,1
Navy,13,29.7,429.2,3148,2431,7,2
Oklahoma,12,29.7,439.8,3348,1929,9,2
Idaho,12,29.8,414.0,3240,1728,17,1
Ball St.,12,30.1,470.3,3836,1807,7,0
Northern Illinois,12,30.3,451.5,3008,2410,14,0
Southern Miss,12,30.3,330.9,2179,1792,10,2
East. Michigan,12,30.3,435.9,3259,1972,11,1
Baylor,12,30.4,434.4,2687,2526,12,2
Oregon St.,12,30.5,429.2,2534,2616,7,1
Arkansas,12,30.8,428.7,2632,2512,10,4
Fresno St.,12,30.9,415.1,2012,2969,5,0
South Florida,12,31.0,482.1,3322,2463,15,2
Kentucky,12,31.2,439.5,2574,2700,13,1
Iowa St.,12,31.3,452.9,2817,2618,9,1
Missouri,12,31.5,479.7,2962,2794,15,2
Texas,12,31.5,448.3,3102,2277,10,0
Tulsa,12,31.5,432.4,2980,2209,10,3
Illinois,12,31.9,405.1,2231,2630,7,1
North Texas,12,32.2,432.0,2550,2634,14,2
Buffalo,12,32.3,434.8,2178,3039,5,0
New Mexico,12,32.4,397.3,2772,1996,8,2
Louisiana Tech,13,32.7,418.0,3687,1747,9,1
Mississippi St.,12,33.1,461.3,3397,2138,14,3
Akron,12,33.6,466.0,2896,2696,8,1
Virginia,12,33.8,446.6,3079,2280,9,0
Mississippi,12,34.0,461.3,2579,2956,8,2
Middle Tenn. St.,12,34.4,445.3,2965,2378,11,2
Charlotte,12,34.6,453.3,3718,1721,16,1
San Jose St.,12,34.7,435.3,2263,2960,10,0
Wyoming,13,34.8,464.0,3397,2635,15,3
Florida Intl.,12,34.8,434.6,2830,2385,6,1
UTEP,12,34.9,419.2,2508,2522,6,0
Marshall,12,35.3,455.4,3044,2421,8,0
UMass,12,35.5,452.7,3115,2317,4,0
Pittsburgh,12,35.6,452.0,4117,1307,9,3
