Team,G,Pts/G,Yds/G,PassYds,RushYds,1stD/G,3rdM,3rdD%,4thM,4thD%,Pen,PenYds,TOP
Sam Houston St.,11,54.2,584.0,4257,2167,27.0,79,51.6,7,53.8,78,850,08:40
James Madison,11,47.7,522.0,2474,3268,26.4,76,54.7,9,69.2,68,638,08:43
Eastern Wash.,11,44.2,541.3,4475,1479,26.9,81,54.0,10,52.6,66,586,10:40
Grambling St.,13,42.2,499.8,3655,2843,23.8,75,44.9,8,61.5,110,904,09:11
Lehigh,11,40.5,491.5,3585,1822,25.6,78,51.0,14,60.9,49,409,13:25
Fordham,11,40.1,498.2,2953,2527,23.3,71,44.7,14,48.3,71,548,12:41
Southern,11,39.8,472.4,2847,2349,23.4,62,42.5,6,37.5,62,535,16:41
Montana,11,39.5,482.2,3591,1713,24.2,78,43.1,11,45.8,79,719,10:04
Kennesaw St.,11,38.9,479.5,1748,3527,22.5,72,49.3,21,70.0,71,705,12:10
San Diego,10,38.6,452.2,2696,1826,22.8,76,52.8,9,69.2,66,640,13:07
N.C. A&T,11,37.5,418.6,2232,2373,21.5,65,43.9,3,37.5,74,644,08:50
S. Dakota St.,11,37.4,481.7,3458,1841,24.7,67,47.2,6,42.9,54,484,08:03
Samford,11,36.1,450.7,3821,1137,22.1,54,34.8,9,64.3,69,705,08:24
Cal Poly,11,35.9,496.5,1494,3967,24.1,91,54.8,19,67.9,58,547,15:11
Central Arkansas,11,35.0,448.6,2701,2234,23.7,95,48.0,13,59.1,91,877,12:56
Charleston Sou.,10,34.9,421.8,1481,2737,19.0,49,40.5,9,69.2,78,621,14:34
Princeton,10,34.6,415.5,2323,1832,24.0,78,47.0,15,65.2,51,429,12:53
Northern Colorado,11,34.3,423.5,2867,1791,21.5,51,38.1,10,58.8,87,820,11:17
Portland St.,11,33.2,454.2,2316,2680,21.4,74,49.7,9,50.0,68,665,10:17
Chattanooga,11,33.1,404.5,2232,2217,19.7,51,38.1,10,71.4,62,564,18:00
Northern Arizona,11,32.8,475.5,3507,1723,21.9,68,37.8,14,45.2,80,717,11:23
Prairie View A&M,11,32.7,392.6,2660,1659,18.2,54,35.1,12,63.2,98,888,10:45
Jacksonville,10,32.6,424.7,1765,2482,22.4,46,35.9,7,43.8,58,621,09:19
Morehead St.,11,32.4,445.7,3416,1487,21.8,74,42.0,11,50.0,64,548,07:31
Dayton,11,32.4,384.8,1936,2297,18.9,68,45.0,7,63.6,66,594,12:54
Tennessee St.,11,32.3,415.1,2730,1836,20.9,50,39.4,5,50.0,101,869,07:57
Tenn-Martin,12,32.3,384.3,2759,1852,20.3,74,43.8,13,54.2,85,708,17:53
McNeese St.,11,32.0,441.3,3346,1508,22.5,64,37.0,14,58.3,74,716,11:15
Jacksonville St.,11,31.5,432.0,2062,2690,20.9,54,33.3,8,53.3,111,1020,08:36
Duquesne,11,31.2,429.5,2865,1859,22.0,77,45.3,8,61.5,61,574,09:25
Colgate,10,31.1,411.0,2044,2066,19.9,50,36.0,9,50.0,51,465,11:25
Southern Ill.,11,30.9,470.2,3660,1512,23.1,75,38.7,12,54.5,80,782,08:04
Richmond,11,30.5,424.1,3040,1625,20.5,70,45.2,5,62.5,56,546,13:21
S.F. Austin,11,30.4,438.1,3217,1602,22.5,73,35.4,5,27.8,86,764,10:54
