SHIFT,OFFENSE,METHOD,CITY,STATE,WARD,ANC,SMD,DISTRICT,PSA,NEIGHBORHOODCLUSTER,HOTSPOT2006NAME,HOTSPOT2005NAME,HOTSPOT2004NAME,BUSINESSIMPROVEMENTDISTRICT
MID,HOMICIDE,"KNIFE, CUTTING INSTR",WASHINGTON,DC,8,8B,8B07,SEVENTH,704,38,NONE,NONE,NONE,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,8,8B,8B01,SIXTH,606,35,NONE,NONE,NONE,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,7,7A,7A01,SIXTH,604,33,NONE,NONE,NONE,NONE
DAY,HOMICIDE,GUN,WASHINGTON,DC,8,8C,8C01,SEVENTH,703,37,NONE,NONE,NONE,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,7,7C,7C02,SIXTH,602,31,NONE,NONE,NONE,NONE
DAY,HOMICIDE,GUN,WASHINGTON,DC,7,7C,7C07,SIXTH,602,31,NONE,NONE,NONE,NONE
MID,HOMICIDE,"KNIFE, CUTTING INSTR",WASHINGTON,DC,5,5B,5B04,FIFTH,502,22,NONE,NONE,NONE,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,8,8E,8.00E+07,SEVENTH,706,39,NONE,NONE,NONE,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,8,8C,8C01,SEVENTH,703,37,NONE,NONE,NONE,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,7,7C,7C04,SIXTH,602,31,NONE,NONE,NONE,NONE
DAY,HOMICIDE,BLUNT FORCE TRAUMA,WASHINGTON,DC,5,5B,5B12,FIFTH,504,23,NONE,NONE,NONE,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,4,4B,4B03,FOURTH,402,17,NONE,NONE,NONE,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,8,8C,8C03,SEVENTH,705,39,NONE,NONE,NONE,NONE
MID,HOMICIDE,"KNIFE, CUTTING INSTR",WASHINGTON,DC,1,1A,1A04,THIRD,302,2,NONE,NONE,NONE,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,5,5C,5C12,FOURTH,405,19,NONE,NONE,NONE,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,8,8B,8B03,SEVENTH,702,36,NONE,NONE,NONE,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,8,8E,8.00E+02,SEVENTH,705,38,NONE,NONE,NONE,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,5,5B,5B03,FIFTH,505,22,NONE,NONE,NONE,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,8,8E,8.00E+04,SEVENTH,706,39,NONE,NONE,NONE,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,8,8D,8D07,SEVENTH,706,39,NONE,NONE,NONE,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,8,8D,8D07,SEVENTH,706,39,NONE,NONE,NONE,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,8,8D,8D07,SEVENTH,706,39,NONE,NONE,NONE,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,8,8D,8D05,SEVENTH,706,39,NONE,NONE,NONE,NONE
MID,HOMICIDE,"KNIFE, CUTTING INSTR",WASHINGTON,DC,8,8D,8D04,SEVENTH,706,39,NONE,NONE,NONE,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,1,1B,1B03,THIRD,304,2,NONE,NONE,NONE,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,7,7A,7A01,SIXTH,604,33,NONE,NONE,NONE,NONE
MID,HOMICIDE,"KNIFE, CUTTING INSTR",WASHINGTON,DC,8,8B,8B02,SEVENTH,702,36,NONE,NONE,NONE,NONE
EVN,HOMICIDE,"KNIFE, CUTTING INSTR",WASHINGTON,DC,8,8B,8B04,SEVENTH,704,38,NONE,NONE,NONE,NONE
