class,size
com.dexvis.dex.DataFilter,731
com.dexvis.dex.Dex,24533
com.dexvis.dex.DexConstants,500
com.dexvis.dex.DexData$_addColumn_closure11,3745
com.dexvis.dex.DexData$_append_closure12,3053
com.dexvis.dex.DexData$_append_closure13,2566
com.dexvis.dex.DexData$_closure1,2282
com.dexvis.dex.DexData$_closure2,2240
com.dexvis.dex.DexData$_getColumnAsDouble_closure9,2660
com.dexvis.dex.DexData$_getColumnNumber_closure4,2367
com.dexvis.dex.DexData$_getColumn_closure5,2590
com.dexvis.dex.DexData$_getMapList_closure3$_closure21,3051
com.dexvis.dex.DexData$_getMapList_closure3,3336
com.dexvis.dex.DexData$_getMaxLengths_closure17$_closure24,3516
com.dexvis.dex.DexData$_getMaxLengths_closure17,3289
com.dexvis.dex.DexData$_groupByIndex_closure14,2418
com.dexvis.dex.DexData$_groupByIndex_closure15$_closure22,2629
com.dexvis.dex.DexData$_groupByIndex_closure15$_closure23,3045
com.dexvis.dex.DexData$_groupByIndex_closure15,3634
com.dexvis.dex.DexData$_groupByName_closure16,2307
com.dexvis.dex.DexData$_guessTypes_closure18$_closure25,4979
com.dexvis.dex.DexData$_guessTypes_closure18,4285
com.dexvis.dex.DexData$_normalize_closure10,4112
com.dexvis.dex.DexData$_select_closure6,2410
com.dexvis.dex.DexData$_select_closure7,2364
com.dexvis.dex.DexData$_select_closure8,2542
com.dexvis.dex.DexData$_toCsvString_closure19,2187
com.dexvis.dex.DexData$_toCsvString_closure20$_closure26,2236
com.dexvis.dex.DexData$_toCsvString_closure20,2927
com.dexvis.dex.DexData,20285
com.dexvis.dex.DexItem,3635
com.dexvis.dex.DexMatcher,2351
com.dexvis.dex.DexProject,3318
com.dexvis.dex.Utils,724
com.dexvis.dex.collections.HierarchicalMap,5073
com.dexvis.dex.deprecated.Dendogram,2241
com.dexvis.dex.deprecated.Starburst,2240
com.dexvis.dex.exception.DexException,1412
com.dexvis.dex.exception.ProjectNotFoundException,841
com.dexvis.dex.task.base.WebDriverTask,14252
com.dexvis.dex.task.base.WebTask$1,3928
com.dexvis.dex.task.base.WebTask$2,4106
com.dexvis.dex.task.base.WebTask$_getConfigScript_closure1,3743
com.dexvis.dex.task.base.WebTask$_getConfigScript_closure2,2623
com.dexvis.dex.task.base.WebTask$_getConfigScript_closure3,2567
com.dexvis.dex.task.base.WebTask,16661
com.dexvis.dex.task.database.CreateJdbcTable$_execute_closure1,2452
com.dexvis.dex.task.database.CreateJdbcTable$_execute_closure2,3495
com.dexvis.dex.task.database.CreateJdbcTable$_getConfig_closure12,3110
com.dexvis.dex.task.database.CreateJdbcTable$_getConfig_closure13,3247
com.dexvis.dex.task.database.CreateJdbcTable$_getConfig_closure14,2946
com.dexvis.dex.task.database.CreateJdbcTable$_getConfig_closure15,2947
com.dexvis.dex.task.database.CreateJdbcTable$_getConfig_closure16,2438
com.dexvis.dex.task.database.CreateJdbcTable$_getConfig_closure17,2606
com.dexvis.dex.task.database.CreateJdbcTable$_populateBatch_closure7$_closure18,3820
com.dexvis.dex.task.database.CreateJdbcTable$_populateBatch_closure7$_closure19,2861
com.dexvis.dex.task.database.CreateJdbcTable$_populateBatch_closure7$_closure20,2313
com.dexvis.dex.task.database.CreateJdbcTable$_populateBatch_closure7,5413
