Year,Gross Debt,Accounts,Total,Fed Reserve,Other,Gross %,Accounts %,Total %,Fed Res %,Other %
1940,50.696,7.924,42.772,2.458,40.314,52.4,8.2,44.2,2.5,41.6
1941,57.531,9.308,48.223,2.18,46.043,50.4,8.2,42.3,1.9,40.4
1942,79.2,11.447,67.753,2.64,65.113,54.9,7.9,47,1.8,45.1
1943,142.648,14.882,127.766,7.149,120.617,79.1,8.3,70.9,4,66.9
1944,204.079,19.283,184.796,14.899,169.897,97.6,9.2,88.3,7.1,81.2
1945,260.123,24.941,235.182,21.792,213.39,117.5,11.3,106.2,9.8,96.4
1946,270.991,29.13,241.861,23.783,218.078,121.7,13.1,108.6,10.7,97.9
1947,257.149,32.81,224.339,21.872,202.467,110.3,14.1,96.2,9.4,86.8
1948,252.031,35.761,216.27,21.366,194.904,98.4,14,84.5,8.3,76.1
1949,252.61,38.288,214.322,19.343,194.979,93.2,14.1,79.1,7.1,71.9
1950,256.853,37.83,219.023,18.331,200.692,94.1,13.9,80.2,6.7,73.5
1951,255.288,40.962,214.326,22.982,191.344,79.6,12.8,66.9,7.2,59.7
1952,259.097,44.339,214.758,22.906,191.852,74.3,12.7,61.6,6.6,55
1953,265.963,47.58,218.383,24.746,193.637,71.3,12.8,58.6,6.6,51.9
1954,270.812,46.313,224.499,25.037,199.462,71.8,12.3,59.5,6.6,52.9
1955,274.366,47.751,226.616,23.607,203.009,69.5,12.1,57.4,6,51.4
1956,272.693,50.537,222.156,23.758,198.398,63.8,11.8,52,5.6,46.4
1957,272.252,52.931,219.32,23.035,196.285,60.5,11.8,48.7,5.1,43.6
1958,279.666,53.329,226.336,25.438,200.898,60.7,11.6,49.2,5.5,43.6
1959,287.465,52.764,234.701,26.044,208.657,58.5,10.7,47.8,5.3,42.5
1960,290.525,53.686,236.84,26.523,210.317,56.1,10.4,45.7,5.1,40.6
1961,292.648,54.291,238.357,27.253,211.104,55.1,10.2,44.9,5.1,39.8
1962,302.928,54.918,248.01,29.663,218.347,53.4,9.7,43.7,5.2,38.5
1963,310.324,56.345,253.978,32.027,221.951,51.8,9.4,42.4,5.3,37.1
