id,parent,value
flare,,
analytics,flare,
cluster,analytics,
AgglomerativeCluster,cluster,3938
CommunityStructure,cluster,3812
HierarchicalCluster,cluster,6714
MergeEdge,cluster,743
graph,analytics,
BetweennessCentrality,graph,3534
LinkDistance,graph,5731
MaxFlowMinCut,graph,7840
ShortestPaths,graph,5914
SpanningTree,graph,3416
optimization,analytics,
AspectRatioBanker,optimization,7074
animate,flare,
Easing,animate,17010
FunctionSequence,animate,5842
interpolate,animate,
ArrayInterpolator,interpolate,1983
ColorInterpolator,interpolate,2047
DateInterpolator,interpolate,1375
Interpolator,interpolate,8746
MatrixInterpolator,interpolate,2202
NumberInterpolator,interpolate,1382
ObjectInterpolator,interpolate,1629
PointInterpolator,interpolate,1675
RectangleInterpolator,interpolate,2042
ISchedulable,animate,1041
Parallel,animate,5176
Pause,animate,449
Scheduler,animate,5593
Sequence,animate,5534
Transition,animate,9201
Transitioner,animate,19975
TransitionEvent,animate,1116
Tween,animate,6006
data,flare,
converters,data,
Converters,converters,721
DelimitedTextConverter,converters,4294
GraphMLConverter,converters,9800
IDataConverter,converters,1314
JSONConverter,converters,2220
DataField,data,1759
DataSchema,data,2165
DataSet,data,586
DataSource,data,3331
DataTable,data,772
DataUtil,data,3322
display,flare,
DirtySprite,display,8833
LineSprite,display,1732
RectSprite,display,3623
TextSprite,display,10066
flex,flare,
FlareVis,flex,4116
physics,flare,
DragForce,physics,1082
GravityForce,physics,1336
IForce,physics,319
NBodyForce,physics,10498
Particle,physics,2822
Simulation,physics,9983
Spring,physics,2213
SpringForce,physics,1681
query,flare,
AggregateExpression,query,1616
And,query,1027
Arithmetic,query,3891
Average,query,891
BinaryExpression,query,2893
Comparison,query,5103
CompositeExpression,query,3677
Count,query,781
DateUtil,query,4141
Distinct,query,933
Expression,query,5130
ExpressionIterator,query,3617
Fn,query,3240
If,query,2732
IsA,query,2039
Literal,query,1214
Match,query,3748
Maximum,query,843
methods,query,
add,methods,593
and,methods,330
average,methods,287
count,methods,277
distinct,methods,292
div,methods,595
eq,methods,594
fn,methods,460
gt,methods,603
gte,methods,625
iff,methods,748
isa,methods,461
lt,methods,597
lte,methods,619
max,methods,283
min,methods,283
mod,methods,591
mul,methods,603
neq,methods,599
not,methods,386
or,methods,323
orderby,methods,307
range,methods,772
select,methods,296
stddev,methods,363
sub,methods,600
sum,methods,280
update,methods,307
variance,methods,335
where,methods,299
xor,methods,354
_,methods,264
Minimum,query,843
Not,query,1554
Or,query,970
Query,query,13896
Range,query,1594
StringUtil,query,4130
Sum,query,791
Variable,query,1124
Variance,query,1876
Xor,query,1101
scale,flare,
IScaleMap,scale,2105
LinearScale,scale,1316
LogScale,scale,3151
OrdinalScale,scale,3770
QuantileScale,scale,2435
QuantitativeScale,scale,4839
RootScale,scale,1756
Scale,scale,4268
ScaleType,scale,1821
TimeScale,scale,5833
util,flare,
Arrays,util,8258
Colors,util,10001
Dates,util,8217
Displays,util,12555
Filter,util,2324
Geometry,util,10993
heap,util,
FibonacciHeap,heap,9354
HeapNode,heap,1233
IEvaluable,util,335
IPredicate,util,383
IValueProxy,util,874
math,util,
DenseMatrix,math,3165
IMatrix,math,2815
SparseMatrix,math,3366
Maths,util,17705
Orientation,util,1486
palette,util,
ColorPalette,palette,6367
Palette,palette,1229
ShapePalette,palette,2059
SizePalette,palette,2291
Property,util,5559
Shapes,util,19118
Sort,util,6887
Stats,util,6557
Strings,util,22026
vis,flare,
axis,vis,
Axes,axis,1302
Axis,axis,24593
AxisGridLine,axis,652
AxisLabel,axis,636
CartesianAxes,axis,6703
controls,vis,
AnchorControl,controls,2138
ClickControl,controls,3824
Control,controls,1353
ControlList,controls,4665
DragControl,controls,2649
ExpandControl,controls,2832
HoverControl,controls,4896
IControl,controls,763
PanZoomControl,controls,5222
SelectionControl,controls,7862
TooltipControl,controls,8435
data,vis,
Data,data,20544
DataList,data,19788
DataSprite,data,10349
EdgeSprite,data,3301
NodeSprite,data,19382
render,data,
ArrowType,render,698
EdgeRenderer,render,5569
IRenderer,render,353
ShapeRenderer,render,2247
ScaleBinding,data,11275
Tree,data,7147
TreeBuilder,data,9930
events,vis,
DataEvent,events,2313
SelectionEvent,events,1880
TooltipEvent,events,1701
VisualizationEvent,events,1117
legend,vis,
Legend,legend,20859
LegendItem,legend,4614
LegendRange,legend,10530
operator,vis,
distortion,operator,
BifocalDistortion,distortion,4461
Distortion,distortion,6314
FisheyeDistortion,distortion,3444
encoder,operator,
ColorEncoder,encoder,3179
Encoder,encoder,4060
PropertyEncoder,encoder,4138
ShapeEncoder,encoder,1690
SizeEncoder,encoder,1830
filter,operator,
FisheyeTreeFilter,filter,5219
GraphDistanceFilter,filter,3165
VisibilityFilter,filter,3509
IOperator,operator,1286
label,operator,
Labeler,label,9956
RadialLabeler,label,3899
StackedAreaLabeler,label,3202
layout,operator,
AxisLayout,layout,6725
BundledEdgeRouter,layout,3727
CircleLayout,layout,9317
CirclePackingLayout,layout,12003
DendrogramLayout,layout,4853
ForceDirectedLayout,layout,8411
IcicleTreeLayout,layout,4864
IndentedTreeLayout,layout,3174
Layout,layout,7881
NodeLinkTreeLayout,layout,12870
PieLayout,layout,2728
RadialTreeLayout,layout,12348
RandomLayout,layout,870
StackedAreaLayout,layout,9121
TreeMapLayout,layout,9191
Operator,operator,2490
OperatorList,operator,5248
OperatorSequence,operator,4190
OperatorSwitch,operator,2581
SortOperator,operator,2023
Visualization,vis,16540
