table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,
"Table 1: Annual Estimates of the Resident Population for Counties of Florida: April 1, 2000 to July 1, 2008",,,,,,,,,,,
Geographic Area,Population Estimates,,,,,,,,,"April 1, 2000",
,"July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
Florida,"18,328,340","18,199,526","18,019,093","17,702,476","17,313,811","16,937,337","16,652,679","16,340,734","16,047,246","15,982,813","15,982,378"
.Alachua County,"241,364","239,434","236,340","231,356","227,982","225,601","223,846","221,282","218,577","217,955","217,955"
.Baker County,"26,164","25,691","25,028","24,418","23,822","23,311","23,168","22,558","22,374","22,259","22,259"
.Bay County,"163,946","163,554","163,916","161,458","157,738","154,642","152,158","149,783","148,252","148,218","148,217"
.Bradford County,"29,012","28,793","28,384","28,007","27,609","26,916","26,162","25,916","26,078","26,088","26,088"
.Brevard County,"536,521","535,005","530,970","526,080","515,904","502,995","494,258","485,843","477,698","476,230","476,230"
.Broward County,"1,751,234","1,748,771","1,764,533","1,763,706","1,739,670","1,718,271","1,698,537","1,668,165","1,631,983","1,623,016","1,623,018"
.Calhoun County,"13,617","13,558","13,376","13,302","13,009","12,938","12,698","12,688","13,041","13,017","13,017"
.Charlotte County,"150,060","152,479","152,804","153,142","156,057","151,969","149,346","145,919","142,239","141,627","141,627"
.Citrus County,"141,416","139,944","136,855","132,889","129,162","125,717","123,215","121,070","118,640","118,085","118,085"
.Clay County,"184,727","181,679","176,101","168,121","162,348","155,254","150,578","145,456","141,621","140,814","140,814"
.Collier County,"315,258","313,655","311,602","305,481","294,632","284,354","275,034","264,096","254,035","251,377","251,377"
.Columbia County,"69,092","67,868","66,746","63,888","61,434","59,883","58,323","57,316","56,729","56,510","56,513"
.DeSoto County,"33,991","34,279","34,232","34,082","34,106","33,434","32,598","32,566","32,262","32,209","32,209"
.Dixie County,"14,957","14,913","14,852","14,571","14,169","13,863","13,908","13,888","13,817","13,827","13,827"
.Duval County,"850,962","846,964","840,785","830,399","821,311","811,975","802,487","791,001","779,762","778,866","778,879"
.Escambia County,"302,939","303,657","306,243","302,292","301,610","300,920","299,668","298,810","294,779","294,410","294,410"
.Flagler County,"91,247","88,178","82,274","75,338","68,172","62,103","57,401","53,695","50,553","49,832","49,832"
.Franklin County,"11,202","11,291","11,152","10,068","9,992","9,961","9,945","9,893","9,841","9,829","11,057"
.Gadsden County,"47,560","46,756","46,092","45,785","45,448","45,187","45,168","45,463","45,061","45,087","45,087"
.Gilchrist County,"17,191","16,983","16,575","16,222","15,719","15,453","14,879","14,557","14,538","14,441","14,437"
.Glades County,"11,175","11,074","11,212","11,276","11,134","10,961","10,931","10,783","10,587","10,576","10,576"
.Gulf County,"15,667","15,732","15,687","15,668","15,370","15,216","14,884","14,892","14,587","14,559","13,332"
.Hamilton County,"14,348","14,232","14,103","13,791","13,926","13,886","13,739","13,735","13,325","13,327","13,327"
.Hardee County,"28,888","28,627","28,097","27,752","27,596","27,376","27,266","26,671","26,904","26,938","26,938"
.Hendry County,"39,453","39,246","38,978","38,331","37,090","36,349","36,209","36,165","36,331","36,210","36,210"
.Hernando County,"171,689","168,809","163,216","156,334","149,007","142,294","137,639","134,077","131,433","130,803","130,802"
.Highlands County,"100,011","99,020","97,287","95,008","92,640","90,630","89,785","88,447","87,406","87,366","87,366"
.Hillsborough County,"1,180,784","1,170,518","1,158,277","1,131,070","1,099,149","1,071,122","1,050,822","1,026,388","1,003,266","998,943","998,948"
.Holmes County,"19,328","19,199","19,114","18,894","18,828","18,881","18,618","18,635","18,535","18,564","18,564"
.Indian River County,"132,315","131,446","129,300","126,578","123,959","119,740","117,746","115,287","113,376","112,943","112,947"
.Jackson County,"49,656","49,132","48,993","48,625","47,213","46,468","46,217","46,208","46,754","46,754","46,755"
.Jefferson County,"14,547","14,429","14,530","14,384","14,276","13,956","13,751","13,386","12,906","12,902","12,902"
.Lafayette County,"8,013","7,957","7,952","7,834","7,415","7,212","7,195","7,118","7,039","7,022","7,022"
.Lake County,"307,243","300,303","288,632","275,098","260,446","245,685","234,399","223,873","212,798","210,509","210,528"
.Lee County,"593,136","588,129","568,287","541,159","511,959","490,023","474,040","458,541","443,882","440,888","440,888"
.Leon County,"264,063","262,141","257,617","253,673","250,646","247,945","243,634","241,590","240,378","239,454","239,452"
.Levy County,"39,460","38,953","38,351","37,362","36,739","35,960","35,607","34,946","34,616","34,450","34,450"
.Liberty County,"7,957","7,813","7,758","7,618","7,332","7,248","7,178","7,039","6,996","7,021","7,021"
.Madison County,"18,895","18,912","18,911","18,797","18,857","18,620","18,625","18,830","18,748","18,733","18,733"
.Manatee County,"315,766","314,131","311,504","304,353","294,367","285,799","279,189","271,903","265,626","264,002","264,002"
.Marion County,"329,628","324,093","313,761","301,436","289,612","279,023","271,188","264,372","260,274","258,914","258,916"
.Martin County,"138,660","138,790","138,035","138,230","136,827","134,416","131,519","129,104","127,150","126,731","126,731"
.Miami-Dade County,"2,398,245","2,382,961","2,376,421","2,356,697","2,337,381","2,320,649","2,307,071","2,283,934","2,259,111","2,253,786","2,253,362"
.Monroe County,"72,243","72,910","74,081","75,750","77,591","78,639","78,790","78,999","79,438","79,589","79,589"
.Nassau County,"69,835","68,321","66,401","64,508","62,897","61,506","60,454","59,123","57,955","57,663","57,663"
.Okaloosa County,"179,693","181,087","182,834","183,259","182,076","178,518","175,832","171,929","170,958","170,497","170,498"
.Okeechobee County,"40,359","40,093","39,843","39,239","38,571","37,233","36,777","36,294","35,913","35,910","35,910"
.Orange County,"1,072,801","1,063,979","1,052,515","1,027,259","992,012","964,789","946,230","927,391","902,764","896,346","896,344"
.Osceola County,"263,676","255,826","244,365","230,777","219,345","205,434","193,720","183,255","174,150","172,493","172,493"
.Palm Beach County,"1,265,293","1,260,386","1,261,380","1,255,007","1,234,204","1,204,827","1,183,123","1,156,485","1,135,424","1,131,190","1,131,184"
.Pasco County,"471,028","461,502","445,065","425,496","404,556","385,393","371,304","358,541","347,274","344,768","344,765"
.Pinellas County,"910,260","914,444","920,533","924,136","924,338","923,384","923,543","923,253","922,308","921,497","921,482"
.Polk County,"580,594","572,967","556,786","537,863","520,450","507,692","498,150","491,250","485,342","483,924","483,924"
.Putnam County,"73,459","73,658","73,314","72,616","71,911","71,160","70,939","70,353","70,412","70,423","70,423"
.St. Johns County,"181,540","175,158","168,180","160,348","151,776","142,207","135,806","129,784","124,470","123,148","123,135"
.St. Lucie County,"265,108","260,090","249,618","237,431","225,152","212,491","204,314","197,716","193,413","192,695","192,695"
.Santa Rosa County,"150,053","147,734","144,460","142,303","138,222","132,493","128,034","121,505","118,383","117,743","117,743"
.Sarasota County,"372,057","370,871","367,336","363,221","354,187","345,248","338,998","332,914","327,007","325,964","325,957"
.Seminole County,"410,854","408,561","408,433","402,368","391,756","385,453","381,123","373,610","367,029","365,199","365,196"
.Sumter County,"74,721","72,089","68,030","63,382","60,062","58,801","57,497","54,725","53,557","53,347","53,345"
.Suwannee County,"39,802","39,340","38,588","37,929","37,010","36,381","35,906","35,525","35,023","34,847","34,844"
.Taylor County,"21,546","21,049","20,070","19,453","19,123","19,145","19,239","19,279","19,215","19,254","19,256"
.Union County,"15,141","14,947","14,528","14,638","14,374","13,750","13,760","13,798","13,462","13,442","13,442"
