Institution ID,Institution,Game Date,Opponent ID,Opponent Name,Score For,Score Against,Location
5,Akron,8/30/2012,128,UCF,14,56,Home
5,Akron,9/8/2012,231,FIU,38,41,Away
5,Akron,9/15/2012,446,Morgan St.,66,6,Home
5,Akron,9/22/2012,694,Tennessee,26,47,Away
5,Akron,9/29/2012,414,Miami (OH),49,56,Home
5,Akron,10/6/2012,71,Bowling Green,10,24,Home
5,Akron,10/13/2012,519,Ohio,28,34,Away
5,Akron,10/20/2012,503,Northern Ill.,7,37,Home
5,Akron,10/27/2012,129,Central Mich.,14,35,Away
5,Akron,11/3/2012,331,Kent St.,24,35,Away
5,Akron,11/10/2012,400,Massachusetts,14,22,Home
5,Akron,11/20/2012,709,Toledo,23,35,Away
8,Alabama,9/1/2012,418,Michigan,41,14,Neutral Site
8,Alabama,9/8/2012,772,Western Ky.,35,0,Home
8,Alabama,9/15/2012,31,Arkansas,52,0,Away
8,Alabama,9/22/2012,229,Fla. Atlantic,40,7,Home
8,Alabama,9/29/2012,433,Ole Miss,33,14,Home
8,Alabama,10/13/2012,434,Missouri,42,10,Away
8,Alabama,10/20/2012,694,Tennessee,44,13,Away
8,Alabama,10/27/2012,430,Mississippi St.,38,7,Home
8,Alabama,11/3/2012,365,LSU,21,17,Away
8,Alabama,11/10/2012,697,Texas A&M,24,29,Home
8,Alabama,11/17/2012,769,Western Caro.,49,0,Home
8,Alabama,11/24/2012,37,Auburn,49,0,Home
8,Alabama,12/1/2012,257,Georgia,32,28,Neutral Site
8,Alabama,1/7/2013,513,Notre Dame,42,14,Neutral Site
9,UAB,9/1/2012,716,Troy,29,39,Home
9,UAB,9/15/2012,648,South Carolina,6,49,Away
9,UAB,9/22/2012,518,Ohio St.,15,29,Away
9,UAB,9/29/2012,719,Tulsa,42,49,Home
9,UAB,10/6/2012,655,Southeastern La.,52,3,Home
9,UAB,10/13/2012,288,Houston,17,39,Away
9,UAB,10/20/2012,196,East Carolina,35,42,Home
9,UAB,10/27/2012,718,Tulane,45,55,Away
9,UAB,11/3/2012,664,Southern Miss.,27,19,Away
9,UAB,11/10/2012,388,Marshall,38,31,Home
9,UAB,11/17/2012,404,Memphis,9,46,Home
