Date,Total Filled Jobs
2004/07,1795610
2004/08,1792770
2004/09,1809590
2004/10,1815580
2004/11,1856360
2004/12,1893760
2005/01,1776570
2005/02,1846350
2005/03,1883300
2005/04,1871630
2005/05,1867870
2005/06,1857260
2005/07,1858360
2005/08,1856320
2005/09,1876270
2005/10,1866920
2005/11,1901480
2005/12,1935670
2006/01,1813860
2006/02,1879380
2006/03,1922130
2006/04,1887360
2006/05,1895750
2006/06,1876460
2006/07,1881840
2006/08,1887790
2006/09,1885440
2006/10,1902680
2006/11,1937590
2006/12,1970000
2007/01,1868710
2007/02,1923890
2007/03,1946060
2007/04,1936730
2007/05,1939250
2007/06,1917860
2007/07,1919690
2007/08,1921050
2007/09,1921750
2007/10,1939550
2007/11,1967250
2007/12,2007480
2008/01,1923300
2008/02,1969650
2008/03,1977430
2008/04,1981380
2008/05,1959410
2008/06,1948880
2008/07,1954670
2008/08,1923680
2008/09,1930620
2008/10,1946320
2008/11,1976920
2008/12,1993070
2009/01,1872470
2009/02,1925270
2009/03,1938670
2009/04,1910800
2009/05,1889830
2009/06,1873610
2009/07,1873190
2009/08,1853740
2009/09,1863470
2009/10,1867600
2009/11,1894620
2009/12,1942410
2010/01,1833590
2010/02,1898550
2010/03,1929880
2010/04,1906470
2010/05,1893570
2010/06,1884660
2010/07,1873940
2010/08,1868550
2010/09,1875840
2010/10,1888510
2010/11,1919410
2010/12,1958880
2011/01,1843110
2011/02,1908290
2011/03,1943810
2011/04,1911650
2011/05,1906270
2011/06,1900770
2011/07,1889820
2011/08,1895760
2011/09,1899470
2011/10,1903630
2011/11,1940200
2011/12,1983070
2012/01,1865540
2012/02,1932380
